G,variable,value
2.0,FG,0.3
1.0,FG,0.425
82.0,FG,0.3
81.0,FG,0.225
80.0,FG,0.325
79.0,FG,0.475
78.0,FG,0.3
77.0,FG,0.35
76.0,FG,0.425
75.0,FG,0.3
74.0,FG,0.3
73.0,FG,0.375
72.0,FG,0.2
71.0,FG,0.45
70.0,FG,0.3
69.0,FG,0.15
68.0,FG,0.2
67.0,FG,0.35
66.0,FG,0.3
65.0,FG,0.35
64.0,FG,0.475
63.0,FG,0.325
62.0,FG,0.175
61.0,FG,0.575
60.0,FG,0.15
59.0,FG,0.45
58.0,FG,0.325
57.0,FG,0.3
56.0,FG,0.125
55.0,FG,0.225
54.0,FG,0.25
53.0,FG,0.4
52.0,FG,0.375
51.0,FG,0.575
50.0,FG,0.325
49.0,FG,0.125
48.0,FG,0.225
47.0,FG,0.5
46.0,FG,0.325
45.0,FG,0.35
44.0,FG,0.375
43.0,FG,0.25
42.0,FG,0.375
41.0,FG,0.075
40.0,FG,0.35
39.0,FG,0.475
38.0,FG,0.375
37.0,FG,0.3
36.0,FG,0.175
35.0,FG,0.225
34.0,FG,0.175
33.0,FG,0.025
32.0,FG,0.6
31.0,FG,0.45
30.0,FG,0.25
29.0,FG,0.375
28.0,FG,0.35
27.0,FG,0.025
26.0,FG,0.5
25.0,FG,0.175
24.0,FG,0.3
23.0,FG,0.375
22.0,FG,0.5
21.0,FG,0.375
20.0,FG,0.375
19.0,FG,0.225
18.0,FG,0.5
17.0,FG,0.275
16.0,FG,0.175
15.0,FG,0.35
14.0,FG,0.35
13.0,FG,0.425
12.0,FG,0.175
11.0,FG,0.25
10.0,FG,0.275
9.0,FG,0.425
8.0,FG,0.575
7.0,FG,0.225
6.0,FG,0.3
5.0,FG,0.45
4.0,FG,0.425
3.0,FG,0.375
2.0,FG,0.3
1.0,FG,0.2
82.0,FG,0.125
81.0,FG,0.375
80.0,FG,0.35
79.0,FG,0.1
78.0,FG,0.575
77.0,FG,0.225
76.0,FG,0.425
75.0,FG,0.3
74.0,FG,0.35
73.0,FG,0.325
72.0,FG,0.55
71.0,FG,0.3
70.0,FG,0.175
69.0,FG,0.325
68.0,FG,0.3
67.0,FG,0.425
66.0,FG,0.1
65.0,FG,0.475
64.0,FG,0.15
63.0,FG,0.5
62.0,FG,0.175
61.0,FG,0.35
60.0,FG,0.425
59.0,FG,0.475
58.0,FG,0.425
57.0,FG,0.275
56.0,FG,0.45
55.0,FG,0.4
54.0,FG,0.375
53.0,FG,0.35
52.0,FG,0.45
51.0,FG,0.275
50.0,FG,0.425
49.0,FG,0.2
48.0,FG,0.3
47.0,FG,0.3
46.0,FG,0.325
45.0,FG,0.2
44.0,FG,0.225
43.0,FG,0.25
42.0,FG,0.35
41.0,FG,0.275
40.0,FG,0.225
39.0,FG,0.35
38.0,FG,0.45
37.0,FG,0.3
36.0,FG,0.55
35.0,FG,0.4
34.0,FG,0.35
33.0,FG,0.4
32.0,FG,0.4
31.0,FG,0.45
30.0,FG,0.45
29.0,FG,0.625
28.0,FG,0.575
27.0,FG,0.475
26.0,FG,0.475
25.0,FG,0.25
24.0,FG,0.45
23.0,FG,0.275
22.0,FG,0.325
21.0,FG,0.25
20.0,FG,0.45
19.0,FG,0.3
18.0,FG,0.3
17.0,FG,0.025
16.0,FG,0.35
15.0,FG,0.25
14.0,FG,0.425
13.0,FG,0.275
12.0,FG,0.35
11.0,FG,0.45
10.0,FG,0.325
9.0,FG,0.35
8.0,FG,0.45
7.0,FG,0.525
6.0,FG,0.425
5.0,FG,0.325
4.0,FG,0.35
3.0,FG,0.425
2.0,FG,0.2
1.0,FG,0.375
82.0,FG,0.325
81.0,FG,0.275
80.0,FG,0.35
79.0,FG,0.4
78.0,FG,0.5
77.0,FG,0.225
76.0,FG,0.275
75.0,FG,0.4
74.0,FG,0.45
73.0,FG,0.225
72.0,FG,0.575
71.0,FG,0.4
70.0,FG,0.475
69.0,FG,0.225
68.0,FG,0.225
67.0,FG,0.4
66.0,FG,0.375
65.0,FG,0.5
64.0,FG,0.625
63.0,FG,0.5
62.0,FG,0.525
61.0,FG,0.35
60.0,FG,0.525
59.0,FG,0.425
58.0,FG,0.425
57.0,FG,0.5
56.0,FG,0.375
55.0,FG,0.2
54.0,FG,0.3
53.0,FG,0.175
52.0,FG,0.4
51.0,FG,0.475
50.0,FG,0.35
49.0,FG,0.4
48.0,FG,0.375
47.0,FG,0.475
46.0,FG,0.425
45.0,FG,0.4
44.0,FG,0.2
43.0,FG,0.65
42.0,FG,0.3
41.0,FG,0.275
