G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Tm,Opp,W,L
42,242.02702702702703,40.027027027027025,89.98484848484848,0.45343939393939403,12.783783783783784,22.34246575342466,0.5010563380281692,20.27906976744186,26.88372093023256,21.349032258064515,16.333333333333332,28.951219512195124,40.58139534883721,24.133333333333333,15.712121212121213,49.95890410958904,14.325,22.634146341463413,103.51219512195122,0.5436923076923077,0.5245405405405404,0.3474594594594595,0.2902972972972973,11.03237837837838,40.024324324324326,64.78378378378379,52.51891891891891,44.7972972972973,8.537837837837838,8.572972972972973,43.87567567567568,103.85675675675675,106.27567567567564,106.17083333333333,,104.10810810810811,99.87837837837837,24.945945945945947,17.054054054054053
43,241.35135135135135,40.25675675675676,90.01639344262296,0.4563934426229507,13.108108108108109,21.430555555555557,0.5329285714285714,19.047619047619047,24.857142857142858,18.03196551724138,15.689655172413794,29.80952380952381,41.0,23.772727272727273,14.081967213114755,50.75342465753425,14.634146341463415,21.829268292682926,103.63414634146342,0.5478461538461539,0.5185135135135134,0.3394324324324325,0.27194594594594595,10.696324324324324,41.105405405405406,65.3162162162162,53.821621621621624,40.91081081081081,9.551351351351354,9.91081081081081,43.575675675675676,103.90540540540539,102.88378378378378,104.55833333333334,,104.25675675675676,100.0,25.554054054054053,17.445945945945947
44,241.01351351351352,39.71621621621622,89.04918032786885,0.4581967213114754,13.702702702702704,22.583333333333332,0.530394366197183,18.930232558139537,25.11627906976744,17.340637931034482,15.525423728813559,29.536585365853657,39.93023255813954,24.044444444444444,15.412698412698413,50.19178082191781,15.275,23.121951219512194,102.65853658536585,0.5480769230769231,0.5302432432432432,0.3587297297297296,0.28543243243243244,10.51445945945946,39.986486486486484,65.95405405405404,53.80810810810811,41.9108108108108,8.878378378378379,10.010810810810813,44.18648648648649,103.11081081081079,104.88108108108108,102.88333333333333,,103.64864864864865,98.66216216216216,26.243243243243242,17.756756756756758
45,242.02702702702703,40.04054054054054,89.35483870967742,0.459983870967742,13.513513513513514,23.027027027027028,0.5078630136986301,19.904761904761905,25.714285714285715,17.50296551724138,15.475409836065573,30.285714285714285,41.642857142857146,23.88372093023256,14.296875,49.554054054054056,15.317073170731707,22.975609756097562,104.3170731707317,0.5459999999999999,0.5264864864864863,0.3462432432432433,0.27935135135135136,10.216756756756757,41.56216216216216,65.11891891891891,52.84054054054053,41.16486486486487,8.343243243243242,8.537837837837838,44.556756756756755,103.69189189189191,106.69459459459459,104.36666666666666,,104.74324324324324,102.08108108108108,26.7972972972973,18.2027027027027
46,242.02702702702703,39.7027027027027,91.33333333333333,0.4462878787878788,12.905405405405405,22.666666666666668,0.5159565217391308,17.906976744186046,24.3953488372093,21.039426229508198,15.887096774193548,30.24390243902439,40.5,24.227272727272727,14.85483870967742,50.83098591549296,15.475,21.825,101.26829268292683,0.5551538461538461,0.5263243243243244,0.35556756756756747,0.2948378378378378,11.803621621621625,39.47297297297298,67.81351351351351,55.36756756756756,43.27837837837838,8.72972972972973,9.81891891891892,44.486486486486484,103.45405405405407,103.97297297297295,102.31666666666668,,102.3108108108108,100.36486486486487,27.35135135135135,18.64864864864865
47,241.01351351351352,40.62162162162162,90.73684210526316,0.4578771929824561,13.85135135135135,23.154929577464788,0.5238591549295776,19.11904761904762,24.714285714285715,16.969089285714286,15.592592592592593,29.675,41.80487804878049,24.595238095238095,14.918032786885245,50.397260273972606,15.4,21.6,106.4390243902439,0.5348461538461539,0.5398108108108108,0.37254054054054053,0.27294594594594596,11.388486486486485,41.28108108108108,64.93513513513513,51.643243243243234,44.954054054054055,8.470270270270271,9.913513513513514,44.07027027027027,102.88648648648648,109.66486486486485,108.8416666666667,,105.79729729729729,104.13513513513513,27.89189189189189,19.10810810810811
48,240.33783783783784,38.554054054054056,88.8360655737705,0.4422295081967213,13.675675675675675,23.295774647887324,0.5002428571428572,21.09090909090909,27.818181818181817,16.698810344827585,16.526315789473685,28.80952380952381,40.7906976744186,21.318181818181817,15.984615384615385,49.72222222222222,14.307692307692308,22.25,102.41463414634147,0.5335384615384616,0.5108918918918919,0.3354594594594595,0.27894594594594596,10.893621621621623,41.85675675675676,65.45675675675676,51.28108108108107,41.410810810810815,8.440540540540539,8.435135135135136,43.38648648648649,102.81891891891892,105.6,105.77083333333331,,102.8108108108108,100.62162162162163,28.5,19.5
49,241.7123287671233,40.602739726027394,91.2,0.45170000000000005,13.36986301369863,23.942028985507246,0.5220869565217391,18.976744186046513,25.302325581395348,18.54006779661017,16.333333333333332,28.317073170731707,39.48837209302326,23.40909090909091,15.253968253968255,50.41428571428571,13.0,22.975,105.70731707317073,0.54,0.5242162162162163,0.34900000000000003,0.2672972972972973,11.161972972972972,39.45135135135135,66.37297297297297,52.32432432432433,40.667567567567566,8.399999999999999,8.627027027027028,42.21891891891892,103.70810810810809,111.17567567567568,109.3,,105.38356164383562,104.12328767123287,29.08219178082192,19.91780821917808
50,242.05479452054794,40.58904109589041,89.4375,0.46696875,13.219178082191782,21.541666666666668,0.5197323943661972,18.837209302325583,25.023255813953487,20.35681967213115,16.032258064516128,29.951219512195124,40.25581395348837,24.434782608695652,14.93939393939394,49.205479452054796,15.634146341463415,22.951219512195124,104.78048780487805,0.549923076923077,0.5437297297297298,0.3629189189189189,0.2597567567567568,10.76872972972973,40.73513513513514,64.3216216216216,53.54054054054053,41.53783783783785,8.28918918918919,9.81891891891892,44.34864864864865,103.10270270270271,108.51621621621621,103.55,,105.15068493150685,101.84931506849315,29.726027397260275,20.273972602739725
51,241.73611111111111,39.611111111111114,92.73015873015873,0.44122222222222224,13.430555555555555,23.225352112676056,0.5239857142857142,19.431818181818183,26.34090909090909,20.638416666666668,16.83606557377049,28.477272727272727,38.71111111111111,23.022222222222222,15.045454545454545,49.66197183098591,14.5,22.725,102.85,0.5093846153846154,0.51175,0.35174999999999995,0.3027222222222223,10.88572222222222,41.225,64.76666666666668,51.99722222222221,42.527777777777786,8.161111111111111,10.275000000000002,43.86388888888889,100.67777777777776,109.98333333333335,104.58260869565214,,103.70833333333333,102.58333333333333,30.38888888888889,20.61111111111111
52,240.69444444444446,39.81944444444444,89.9,0.45679999999999993,12.902777777777779,21.742857142857144,0.4992285714285714,20.0,27.558139534883722,19.86815,16.603448275862068,30.30952380952381,40.38636363636363,22.84090909090909,14.380952380952381,49.66197183098591,13.925,23.575,103.0,0.5536923076923077,0.5252777777777777,0.3369722222222223,0.27794444444444444,12.308416666666668,39.85,67.2027777777778,52.96388888888888,40.827777777777776,8.424999999999999,8.28611111111111,44.266666666666666,104.6861111111111,105.46666666666668,101.78695652173913,,103.86111111111111,99.91666666666667,30.97222222222222,21.02777777777778
53,240.69444444444446,40.486111111111114,89.84126984126983,0.45925396825396836,13.166666666666666,21.788732394366196,0.5091408450704225,19.142857142857142,25.19047619047619,21.400629032258063,15.8,29.804878048780488,40.142857142857146,23.88095238095238,14.734375,49.625,15.333333333333334,22.925,104.15,0.5560769230769231,0.5345555555555556,0.3464722222222221,0.2737777777777778,11.368055555555555,38.61944444444444,65.47222222222223,52.85277777777778,40.2,8.147222222222222,9.41388888888889,44.94444444444444,104.03888888888888,107.27777777777777,107.68695652173912,,104.80555555555556,102.55555555555556,31.541666666666668,21.458333333333332
54,241.38888888888889,40.52777777777778,90.57377049180327,0.4552295081967214,13.26388888888889,23.130434782608695,0.5229275362318841,19.595238095238095,27.0,18.89263157894737,16.017543859649123,28.6,38.883720930232556,23.956521739130434,14.23728813559322,50.869565217391305,14.717948717948717,23.153846153846153,105.85,0.556,0.5365,0.35947222222222225,0.26991666666666664,11.643888888888888,41.166666666666664,64.35833333333333,53.525,41.02777777777779,7.427777777777779,9.502777777777782,44.36944444444444,104.09722222222221,109.59166666666665,109.53478260869564,,105.30555555555556,103.76388888888889,32.138888888888886,21.86111111111111
55,242.08333333333334,40.68055555555556,91.30645161290323,0.45725806451612916,13.63888888888889,22.788732394366196,0.5271830985915494,20.4390243902439,26.73170731707317,19.842525423728816,15.964912280701755,30.975,41.595238095238095,24.41860465116279,14.707692307692307,50.02777777777778,15.125,22.95,105.875,0.5560769230769231,0.5406944444444446,0.3558055555555556,0.2736666666666668,11.353250000000001,40.25833333333334,67.18055555555556,54.67777777777778,42.04722222222221,7.108333333333334,10.141666666666667,44.35555555555556,103.11666666666667,106.85000000000002,108.50434782608696,,106.31944444444444,104.15277777777777,32.666666666666664,22.333333333333332
