,date,reading,warning
470,2019-04-25 00:01:00,102, Unhealthy for Sensitive Groups
471,2019-04-25 01:01:00,88, Moderate
472,2019-04-25 02:00:00,80, Moderate
473,2019-04-25 03:01:00,73, Moderate
474,2019-04-25 04:01:00,65, Moderate
475,2019-04-25 05:01:00,65, Moderate
476,2019-04-25 06:01:00,65, Moderate
477,2019-04-25 07:01:00,72, Moderate
478,2019-04-25 08:01:00,75, Moderate
479,2019-04-25 09:01:00,80, Moderate
480,2019-04-25 10:01:00,78, Moderate
481,2019-04-25 11:01:00,77, Moderate
482,2019-04-25 12:00:00,68, Moderate
483,2019-04-25 13:01:00,65, Moderate
484,2019-04-25 14:00:00,69, Moderate
485,2019-04-25 15:01:00,55, Moderate
486,2019-04-25 16:01:00,50, Good
487,2019-04-25 17:01:00,57, Moderate
488,2019-04-25 18:01:00,61, Moderate
489,2019-04-25 19:01:00,56, Moderate
490,2019-04-25 20:01:00,56, Moderate
491,2019-04-25 21:01:00,63, Moderate
492,2019-04-25 22:00:00,63, Moderate
493,2019-04-25 23:00:00,57, Moderate
494,2019-04-26 00:01:00,59, Moderate
495,2019-04-26 01:01:00,56, Moderate
496,2019-04-26 02:01:00,47, Good
497,2019-04-26 03:01:00,52, Moderate
498,2019-04-26 04:01:00,49, Good
499,2019-04-26 05:01:00,50, Good
500,2019-04-26 06:01:00,50, Good
501,2019-04-26 07:01:00,-999,
502,2019-04-26 08:01:00,-999,
503,2019-04-26 09:01:00,83, Moderate
504,2019-04-26 10:01:00,80, Moderate
505,2019-04-26 11:01:00,95, Moderate
506,2019-04-26 12:01:00,81, Moderate
507,2019-04-26 13:01:00,81, Moderate
508,2019-04-26 14:00:00,79, Moderate
509,2019-04-26 15:01:00,87, Moderate
510,2019-04-26 16:01:00,85, Moderate
511,2019-04-26 17:01:00,94, Moderate
512,2019-04-26 18:01:00,93, Moderate
513,2019-04-26 19:01:00,104, Unhealthy for Sensitive Groups
514,2019-04-26 20:01:00,118, Unhealthy for Sensitive Groups
