Name,Team,Number,Year
Walt Budko,BLB,12,1951
Art Burris,FTW,12,1951
Tommy Byrnes,TRI,12,1951
Gerry Calabrese,SYR,12,1951
Ray Corley,TRI,12,1951
Bob Donham,BOS,12,1951
Vern Gardner,PHW,12,1951
Arnie Johnson,ROC,12,1951
Ariel Maughan,WSC,12,1951
Gene Vance,TRI,12,1951
Frankie Brian,TRI,13,1951
Chick Halbert,BLB,13,1951
Bob Harris,BOS,13,1951
Tony Jaros,MNL,13,1951
Noble Jorgensen,SYR,13,1951
Dick O'Keefe,WSC,13,1951
Don Otten,BLB,13,1951
Ed Peterson,SYR,13,1951
Kenny Sailors,BOS,13,1951
Brady Walker,BOS,13,1951
Cal Christensen,TRI,14,1951
Bob Cousy,BOS,14,1951
Chick Halbert,WSC,14,1951
John Hargis,FTW,14,1951
Joe Holland,INO,14,1951
Joe Hutton,MNL,14,1951
Gene James,NYK,14,1951
Easy Parham,PHW,14,1951
Arnie Risen,ROC,14,1951
Fred Scolari,SYR,14,1951
Belus Smawley,SYR,14,1951
Bob Carpenter,TRI,15,1951
Al Cervi,SYR,15,1951
Alex Groza,INO,15,1951
Jack Kerris,FTW,15,1951
Dick McGuire,NYK,15,1951
Ed Mikan,WSC,15,1951
Jack Nichols,TRI,15,1951
Paul Noel,ROC,15,1951
Kevin O'Shea,MNL,15,1951
Don Otten,WSC,15,1951
Harry Boykoff,TRI,16,1951
Bill Closs,PHW,16,1951
Larry Foust,FTW,16,1951
Bob Harrison,MNL,16,1951
Kleggie Hermsen,TRI,16,1951
Red Holzman,ROC,16,1951
Tony Lavelli,NYK,16,1951
John Mahnken,BOS,16,1951
Mal McMullen,INO,16,1951
Johnny Norlander,WSC,16,1951
Ed Bartels,WSC,17,1951
Wah Wah,INO,17,1951
George Kaftan,NYK,17,1951
John Logan,TRI,17,1951
Bones McKinney,BOS,17,1951
Don Otten,FTW,17,1951
Jim Pollard,MNL,17,1951
Jim Riffey,FTW,17,1951
Alan Sawyer,WSC,17,1951
Dike Eddleman,TRI,18,1951
Arnie Ferrin,MNL,18,1951
Bob Harris,BOS,18,1951
Frank Kudelka,WSC,18,1951
Don Lofgran,INO,18,1951
Ed Mikan,ROC,18,1951
Leo Mogus,PHW,18,1951
Carl Shaeffer,INO,18,1951
Connie Simmons,NYK,18,1951
Ike Borsavage,PHW,19,1951
Bill Calhoun,ROC,19,1951
Nat Clifton,NYK,19,1951
John Mahnken,INO,19,1951
Vern Mikkelsen,MNL,19,1951
Chuck Mrazovich,INO,19,1951
Ed Stanczak,BOS,19,1951
Mike Todorovich,TRI,19,1951
Leo Barnhorst,INO,20,1951
Bud Grant,MNL,20,1951
Noble Jorgensen,TRI,20,1951
Joe McNamee,ROC,20,1951
Ed Peterson,TRI,20,1951
Fred Scolari,WSC,20,1951
Andy Duncan,BOS,21,1951
Frank Kudelka,BOS,21,1951
Ed Stanczak,BOS,21,1951
Ed Macauley,BOS,22,1951
Slater Martin,MNL,22,1951
Dick Schnittker,WSC,22,1951
Frank Kudelka,WSC,23,1951
Harry Boykoff,BOS,24,1951
,,25,1951
,,26,1951
,,27,1951
,,28,1951
Bones McKinney,WSC,29,1951
Alan Sawyer,WSC,29,1951
,,30,1951
,,31,1951
,,32,1951
Norm Mager,BLB,33,1951
,,34,1951
,,35,1951
,,36,1951
,,37,1951
,,38,1951
,,39,1951
,,40,1951
,,41,1951
,,42,1951
,,43,1951
,,44,1951
,,45,1951
,,46,1951
,,47,1951
,,48,1951
,,49,1951
,,50,1951
,,51,1951
,,52,1951
,,53,1951
,,54,1951
,,55,1951
,,56,1951
,,57,1951
,,58,1951
,,59,1951
,,60,1951
,,61,1951
,,62,1951
,,63,1951
,,64,1951
,,65,1951
,,66,1951
,,67,1951
,,68,1951
,,69,1951
,,70,1951
,,71,1951
,,72,1951
,,73,1951
,,74,1951
,,75,1951
,,76,1951
,,77,1951
,,78,1951
,,79,1951
,,80,1951
,,81,1951
,,82,1951
,,83,1951
,,84,1951
,,85,1951
,,86,1951
,,87,1951
,,88,1951
,,89,1951
,,90,1951
,,91,1951
,,92,1951
,,93,1951
,,94,1951
,,95,1951
,,96,1951
,,97,1951
,,98,1951
George Mikan,MNL,99,1951
,,0,1952
,,1,1952
,,2,1952
George King,SYR,3,1952
Alfred McGuire,NYK,3,1952
Joe Hutton,MNL,4,1952
Red Owens,BLB,4,1952
Dolph Schayes,SYR,4,1952
Zeke Sinicola,FTW,4,1952
Nelson Bobb,PHW,5,1952
Bill Calhoun,BLB,5,1952
Ralph Johnson,FTW,5,1952
Paul Seymour,SYR,5,1952
Belus Smawley,BLB,5,1952
Paul Walther,INO,5,1952
Don Barksdale,BLB,6,1952
Jake Fendley,FTW,6,1952
Neil Johnston,PHW,6,1952
Noble Jorgensen,SYR,6,1952
George Kaftan,NYK,6,1952
Ralph O'Brien,INO,6,1952
Frankie Brian,FTW,7,1952
Bill Gabor,SYR,7,1952
Ray Lumpp,NYK,7,1952
Andy Phillip,PHW,7,1952
Brady Walker,BLB,7,1952
Nat Clifton,NYK,8,1952
Frank Kudelka,BLB,8,1952
Bob Lavoy,INO,8,1952
Wally Osterkorn,SYR,8,1952
Fred Schaus,FTW,8,1952
George Senesky,PHW,8,1952
Don Savage,SYR,9,1952
Bill Tosheff,INO,9,1952
Ernie Vandeweghe,NYK,9,1952
Cliff Barker,INO,10,1952
Jack Coleman,ROC,10,1952
Joe Fulks,PHW,10,1952
Dave Minor,BLB,10,1952
George Ratkovicz,SYR,10,1952
Max Zaslofsky,NYK,10,1952
Paul Arizin,PHW,11,1952
Chuck Cooper,BOS,11,1952
Bob Davies,ROC,11,1952
Harry Gallatin,NYK,11,1952
Alex Hannum,BLB,11,1952
Lew Hitch,MNL,11,1952
Jack Kiley,FTW,11,1952
Jim Slaughter,BLB,11,1952
Gene Vance,MLH,11,1952
Vince Boryla,NYK,12,1952
Art Burris,FTW,12,1952
Bob Donham,BOS,12,1952
Dike Eddleman,FTW,12,1952
Vern Gardner,PHW,12,1952
Arnie Johnson,ROC,12,1952
Stan Miasek,BLB,12,1952
Howie Schultz,MNL,12,1952
Bob Wilson,MLH,12,1952
Gerry Calabrese,SYR,13,1952
Bob Harris,BOS,13,1952
Joe McNamee,BLB,13,1952
Don Rehfeldt,BLB,13,1952
Stan Brown,PHW,14,1952
Bill Closs,FTW,14,1952
Bob Cousy,BOS,14,1952
Joe Holland,INO,14,1952
Kevin O'Shea,MLH,14,1952
Don Otten,MLH,14,1952
Arnie Risen,ROC,14,1952
Art Burris,MLH,15,1952
Al Cervi,SYR,15,1952
Joe Hutton,MNL,15,1952
Jack Kerris,FTW,15,1952
John McConathy,MLH,15,1952
Dick McGuire,NYK,15,1952
Ed Mikan,PHW,15,1952
Paul Noel,ROC,15,1952
Don Rehfeldt,MLH,15,1952
Odie Spears,ROC,15,1952
Dillard Crocker,INO,16,1952
Ed Dahler,PHW,16,1952
